Team 1,Team 2,Bet Type,Bet Info,Odds,Time of Game,DateTime,Sportsbook Name,Sport
Texans,Cowboys,Spread,-7,-115,Today • 8:15 PM,2024-11-18 16:29:18.904626,BetMGM,NFL
Texans,Cowboys,Total (Over),O 41,-110,Today • 8:15 PM,2024-11-18 16:29:18.904638,BetMGM,NFL
Texans,Cowboys,MoneyLine,,-350,Today • 8:15 PM,2024-11-18 16:29:18.904641,BetMGM,NFL
Cowboys,Texans,Spread,+7,-105,Today • 8:15 PM,2024-11-18 16:29:18.904644,BetMGM,NFL
Cowboys,Texans,Total (Under),U 41,-110,Today • 8:15 PM,2024-11-18 16:29:18.904647,BetMGM,NFL
Cowboys,Texans,MoneyLine,,+280,Today • 8:15 PM,2024-11-18 16:29:18.904650,BetMGM,NFL
Steelers,Browns,Spread,-3.5,-120,11/21/24 8:15 PM,2024-11-18 16:29:18.907921,BetMGM,NFL
Steelers,Browns,Total (Over),O 36.5,-110,11/21/24 8:15 PM,2024-11-18 16:29:18.907928,BetMGM,NFL
Steelers,Browns,MoneyLine,,-190,11/21/24 8:15 PM,2024-11-18 16:29:18.907932,BetMGM,NFL
Browns,Steelers,Spread,+3.5,-110,11/21/24 8:15 PM,2024-11-18 16:29:18.907935,BetMGM,NFL
Browns,Steelers,Total (Under),U 36.5,-110,11/21/24 8:15 PM,2024-11-18 16:29:18.907938,BetMGM,NFL
Browns,Steelers,MoneyLine,,+155,11/21/24 8:15 PM,2024-11-18 16:29:18.907941,BetMGM,NFL
Vikings,Bears,Spread,-3.5,-110,11/24/24 1:00 PM,2024-11-18 16:29:18.911331,BetMGM,NFL
Vikings,Bears,Total (Over),O 39.5,-110,11/24/24 1:00 PM,2024-11-18 16:29:18.911337,BetMGM,NFL
Vikings,Bears,MoneyLine,,-190,11/24/24 1:00 PM,2024-11-18 16:29:18.911341,BetMGM,NFL
Bears,Vikings,Spread,+3.5,-110,11/24/24 1:00 PM,2024-11-18 16:29:18.911344,BetMGM,NFL
Bears,Vikings,Total (Under),U 39.5,-110,11/24/24 1:00 PM,2024-11-18 16:29:18.911347,BetMGM,NFL
Bears,Vikings,MoneyLine,,+155,11/24/24 1:00 PM,2024-11-18 16:29:18.911350,BetMGM,NFL
Lions,Colts,Spread,-8,-110,11/24/24 1:00 PM,2024-11-18 16:29:18.914369,BetMGM,NFL
Lions,Colts,Total (Over),O 50.5,-110,11/24/24 1:00 PM,2024-11-18 16:29:18.914372,BetMGM,NFL
Lions,Colts,MoneyLine,,-400,11/24/24 1:00 PM,2024-11-18 16:29:18.914375,BetMGM,NFL
Colts,Lions,Spread,+8,-110,11/24/24 1:00 PM,2024-11-18 16:29:18.914379,BetMGM,NFL
Colts,Lions,Total (Under),U 50.5,-110,11/24/24 1:00 PM,2024-11-18 16:29:18.914381,BetMGM,NFL
Colts,Lions,MoneyLine,,+310,11/24/24 1:00 PM,2024-11-18 16:29:18.914384,BetMGM,NFL
Patriots,Dolphins,Spread,+7,-110,11/24/24 1:00 PM,2024-11-18 16:29:18.917405,BetMGM,NFL
Patriots,Dolphins,Total (Over),O 46,-110,11/24/24 1:00 PM,2024-11-18 16:29:18.917409,BetMGM,NFL
Patriots,Dolphins,MoneyLine,,+280,11/24/24 1:00 PM,2024-11-18 16:29:18.917411,BetMGM,NFL
Dolphins,Patriots,Spread,-7,-110,11/24/24 1:00 PM,2024-11-18 16:29:18.917414,BetMGM,NFL
