Team 1,Team 2,Bet Type,Bet Info,Odds,DateTime,Sportsbook Name,Sport
Ravens,Buccaneers,Spread,-4,-110,2024-10-21 17:51:21.302492,BetMGM,NFL
Ravens,Buccaneers,Total,N/A,-110,2024-10-21 17:51:21.302496,BetMGM,NFL
Ravens,Buccaneers,MoneyLine,,-110,2024-10-21 17:51:21.302497,BetMGM,NFL
Buccaneers,Ravens,Spread,+4,-110,2024-10-21 17:51:21.302497,BetMGM,NFL
Buccaneers,Ravens,Total,N/A,-110,2024-10-21 17:51:21.302497,BetMGM,NFL
Buccaneers,Ravens,MoneyLine,,-110,2024-10-21 17:51:21.302498,BetMGM,NFL
Chargers,Cardinals,Spread,N/A,-110,2024-10-21 17:51:21.302637,BetMGM,NFL
Chargers,Cardinals,Total,O 50,-110,2024-10-21 17:51:21.302637,BetMGM,NFL
Chargers,Cardinals,MoneyLine,,-110,2024-10-21 17:51:21.302637,BetMGM,NFL
Cardinals,Chargers,Spread,N/A,-110,2024-10-21 17:51:21.302638,BetMGM,NFL
Cardinals,Chargers,Total,U 50,-110,2024-10-21 17:51:21.302638,BetMGM,NFL
Cardinals,Chargers,MoneyLine,,-110,2024-10-21 17:51:21.302638,BetMGM,NFL
Vikings,Rams,Spread,N/A,-225,2024-10-21 17:51:21.302754,BetMGM,NFL
Vikings,Rams,Total,N/A,-225,2024-10-21 17:51:21.302755,BetMGM,NFL
Vikings,Rams,MoneyLine,,-225,2024-10-21 17:51:21.302755,BetMGM,NFL
Rams,Vikings,Spread,N/A,+185,2024-10-21 17:51:21.302755,BetMGM,NFL
Rams,Vikings,Total,N/A,+185,2024-10-21 17:51:21.302756,BetMGM,NFL
Rams,Vikings,MoneyLine,,+185,2024-10-21 17:51:21.302756,BetMGM,NFL
Ravens,Browns,Spread,-1,-120,2024-10-21 17:51:21.302879,BetMGM,NFL
Ravens,Browns,Total,N/A,-120,2024-10-21 17:51:21.302879,BetMGM,NFL
Ravens,Browns,MoneyLine,,-120,2024-10-21 17:51:21.302880,BetMGM,NFL
Browns,Ravens,Spread,+1,-110,2024-10-21 17:51:21.302880,BetMGM,NFL
Browns,Ravens,Total,N/A,-110,2024-10-21 17:51:21.302880,BetMGM,NFL
Browns,Ravens,MoneyLine,,-110,2024-10-21 17:51:21.302881,BetMGM,NFL
Titans,Lions,Spread,N/A,-110,2024-10-21 17:51:21.303009,BetMGM,NFL
Titans,Lions,Total,O 44,-110,2024-10-21 17:51:21.303010,BetMGM,NFL
Titans,Lions,MoneyLine,,-110,2024-10-21 17:51:21.303010,BetMGM,NFL
Lions,Titans,Spread,N/A,-110,2024-10-21 17:51:21.303011,BetMGM,NFL
Lions,Titans,Total,U 44,-110,2024-10-21 17:51:21.303011,BetMGM,NFL
Lions,Titans,MoneyLine,,-110,2024-10-21 17:51:21.303011,BetMGM,NFL
Cardinals,Dolphins,Spread,N/A,-120,2024-10-21 17:51:21.303126,BetMGM,NFL
Cardinals,Dolphins,Total,N/A,-120,2024-10-21 17:51:21.303126,BetMGM,NFL
Cardinals,Dolphins,MoneyLine,,-120,2024-10-21 17:51:21.303126,BetMGM,NFL
Dolphins,Cardinals,Spread,N/A,+100,2024-10-21 17:51:21.303127,BetMGM,NFL
Dolphins,Cardinals,Total,N/A,+100,2024-10-21 17:51:21.303127,BetMGM,NFL
Dolphins,Cardinals,MoneyLine,,+100,2024-10-21 17:51:21.303127,BetMGM,NFL
Jets,Patriots,Spread,-3,-115,2024-10-21 17:51:21.303250,BetMGM,NFL
Jets,Patriots,Total,N/A,-115,2024-10-21 17:51:21.303251,BetMGM,NFL
Jets,Patriots,MoneyLine,,-115,2024-10-21 17:51:21.303251,BetMGM,NFL
Patriots,Jets,Spread,+3,-105,2024-10-21 17:51:21.303251,BetMGM,NFL
Patriots,Jets,Total,N/A,-105,2024-10-21 17:51:21.303252,BetMGM,NFL
Patriots,Jets,MoneyLine,,-105,2024-10-21 17:51:21.303252,BetMGM,NFL
Falcons,Buccaneers,Spread,N/A,-110,2024-10-21 17:51:21.303378,BetMGM,NFL
Falcons,Buccaneers,Total,O 48,-110,2024-10-21 17:51:21.303378,BetMGM,NFL
Falcons,Buccaneers,MoneyLine,,-110,2024-10-21 17:51:21.303379,BetMGM,NFL
Buccaneers,Falcons,Spread,N/A,-110,2024-10-21 17:51:21.303379,BetMGM,NFL
Buccaneers,Falcons,Total,U 48,-110,2024-10-21 17:51:21.303379,BetMGM,NFL
Buccaneers,Falcons,MoneyLine,,-110,2024-10-21 17:51:21.303380,BetMGM,NFL
Packers,Jaguars,Spread,N/A,-165,2024-10-21 17:51:21.303496,BetMGM,NFL
Packers,Jaguars,Total,N/A,-165,2024-10-21 17:51:21.303497,BetMGM,NFL
Packers,Jaguars,MoneyLine,,-165,2024-10-21 17:51:21.303497,BetMGM,NFL
Jaguars,Packers,Spread,N/A,+140,2024-10-21 17:51:21.303497,BetMGM,NFL
Jaguars,Packers,Total,N/A,+140,2024-10-21 17:51:21.303498,BetMGM,NFL
Jaguars,Packers,MoneyLine,,+140,2024-10-21 17:51:21.303498,BetMGM,NFL
Colts,Texans,Spread,-9.5,-110,2024-10-21 17:51:21.303621,BetMGM,NFL
Colts,Texans,Total,N/A,-110,2024-10-21 17:51:21.303621,BetMGM,NFL
Colts,Texans,MoneyLine,,-110,2024-10-21 17:51:21.303622,BetMGM,NFL
Texans,Colts,Spread,+9.5,-110,2024-10-21 17:51:21.303622,BetMGM,NFL
Texans,Colts,Total,N/A,-110,2024-10-21 17:51:21.303622,BetMGM,NFL
Texans,Colts,MoneyLine,,-110,2024-10-21 17:51:21.303623,BetMGM,NFL
Saints,Chargers,Spread,N/A,-110,2024-10-21 17:51:21.303747,BetMGM,NFL
Saints,Chargers,Total,O 42.5,-110,2024-10-21 17:51:21.303747,BetMGM,NFL
Saints,Chargers,MoneyLine,,-110,2024-10-21 17:51:21.303748,BetMGM,NFL
Chargers,Saints,Spread,N/A,-110,2024-10-21 17:51:21.303748,BetMGM,NFL
Chargers,Saints,Total,U 42.5,-110,2024-10-21 17:51:21.303748,BetMGM,NFL
Chargers,Saints,MoneyLine,,-110,2024-10-21 17:51:21.303749,BetMGM,NFL
Bills,Seahawks,Spread,N/A,-550,2024-10-21 17:51:21.303864,BetMGM,NFL
Bills,Seahawks,Total,N/A,-550,2024-10-21 17:51:21.303864,BetMGM,NFL
Bills,Seahawks,MoneyLine,,-550,2024-10-21 17:51:21.303865,BetMGM,NFL
Seahawks,Bills,Spread,N/A,+400,2024-10-21 17:51:21.303865,BetMGM,NFL
Seahawks,Bills,Total,N/A,+400,2024-10-21 17:51:21.303865,BetMGM,NFL
Seahawks,Bills,MoneyLine,,+400,2024-10-21 17:51:21.303866,BetMGM,NFL
Bears,Commanders,Spread,+11.5,-110,2024-10-21 17:51:21.303987,BetMGM,NFL
Bears,Commanders,Total,N/A,-110,2024-10-21 17:51:21.303987,BetMGM,NFL
Bears,Commanders,MoneyLine,,-110,2024-10-21 17:51:21.303988,BetMGM,NFL
Commanders,Bears,Spread,-11.5,-110,2024-10-21 17:51:21.303988,BetMGM,NFL
Commanders,Bears,Total,N/A,-110,2024-10-21 17:51:21.303988,BetMGM,NFL
Commanders,Bears,MoneyLine,,-110,2024-10-21 17:51:21.303989,BetMGM,NFL
Eagles,Bengals,Spread,N/A,-110,2024-10-21 17:51:21.304115,BetMGM,NFL
Eagles,Bengals,Total,O 45.5,-110,2024-10-21 17:51:21.304115,BetMGM,NFL
Eagles,Bengals,MoneyLine,,-110,2024-10-21 17:51:21.304115,BetMGM,NFL
Bengals,Eagles,Spread,N/A,-110,2024-10-21 17:51:21.304116,BetMGM,NFL
Bengals,Eagles,Total,U 45.5,-110,2024-10-21 17:51:21.304116,BetMGM,NFL
Bengals,Eagles,MoneyLine,,-110,2024-10-21 17:51:21.304116,BetMGM,NFL
Panthers,Broncos,Spread,N/A,+475,2024-10-21 17:51:21.304231,BetMGM,NFL
Panthers,Broncos,Total,N/A,+475,2024-10-21 17:51:21.304232,BetMGM,NFL
Panthers,Broncos,MoneyLine,,+475,2024-10-21 17:51:21.304232,BetMGM,NFL
Broncos,Panthers,Spread,N/A,-650,2024-10-21 17:51:21.304232,BetMGM,NFL
Broncos,Panthers,Total,N/A,-650,2024-10-21 17:51:21.304232,BetMGM,NFL
Broncos,Panthers,MoneyLine,,-650,2024-10-21 17:51:21.304233,BetMGM,NFL
Chiefs,Raiders,Spread,+3.5,-115,2024-10-21 17:51:21.304356,BetMGM,NFL
Chiefs,Raiders,Total,N/A,-115,2024-10-21 17:51:21.304356,BetMGM,NFL
Chiefs,Raiders,MoneyLine,,-115,2024-10-21 17:51:21.304357,BetMGM,NFL
Raiders,Chiefs,Spread,-3.5,-105,2024-10-21 17:51:21.304357,BetMGM,NFL
Raiders,Chiefs,Total,N/A,-105,2024-10-21 17:51:21.304357,BetMGM,NFL
Raiders,Chiefs,MoneyLine,,-105,2024-10-21 17:51:21.304358,BetMGM,NFL
Cowboys,49ers,Spread,N/A,-110,2024-10-21 17:51:21.304483,BetMGM,NFL
Cowboys,49ers,Total,O 48,-110,2024-10-21 17:51:21.304483,BetMGM,NFL
Cowboys,49ers,MoneyLine,,-110,2024-10-21 17:51:21.304484,BetMGM,NFL
49ers,Cowboys,Spread,N/A,-110,2024-10-21 17:51:21.304484,BetMGM,NFL
49ers,Cowboys,Total,U 48,-110,2024-10-21 17:51:21.304484,BetMGM,NFL
49ers,Cowboys,MoneyLine,,-110,2024-10-21 17:51:21.304485,BetMGM,NFL
Giants,Steelers,Spread,N/A,+140,2024-10-21 17:51:21.304599,BetMGM,NFL
Giants,Steelers,Total,N/A,+140,2024-10-21 17:51:21.304600,BetMGM,NFL
Giants,Steelers,MoneyLine,,+140,2024-10-21 17:51:21.304600,BetMGM,NFL
Steelers,Giants,Spread,N/A,-165,2024-10-21 17:51:21.304600,BetMGM,NFL
Steelers,Giants,Total,N/A,-165,2024-10-21 17:51:21.304601,BetMGM,NFL
Steelers,Giants,MoneyLine,,-165,2024-10-21 17:51:21.304601,BetMGM,NFL
