Team 1,Team 2,Bet Type,Bet Info,Odds,Date of game,DateTime(when got odds),Sportsbook Name,Sport
WAS Commanders,PHI Eagles,Spread,+4,−108,Today ,2024-11-14 15:43:59.843156,DraftKings,NFL
WAS Commanders,PHI Eagles,Total,O49,−112,Today ,2024-11-14 15:43:59.843167,DraftKings,NFL
WAS Commanders,PHI Eagles,MoneyLine,WAS Commanders,+170,Today ,2024-11-14 15:43:59.843172,DraftKings,NFL
PHI Eagles,WAS Commanders,Spread,-4,−112,Today ,2024-11-14 15:43:59.843488,DraftKings,NFL
PHI Eagles,WAS Commanders,Total,U49,−108,Today ,2024-11-14 15:43:59.843494,DraftKings,NFL
PHI Eagles,WAS Commanders,MoneyLine,PHI Eagles,−205,Today ,2024-11-14 15:43:59.843499,DraftKings,NFL
BAL Ravens,PIT Steelers,Spread,-3.5,−102,SUN NOV 17TH,2024-11-14 15:43:59.844066,DraftKings,NFL
BAL Ravens,PIT Steelers,Total,O48.5,−110,SUN NOV 17TH,2024-11-14 15:43:59.844072,DraftKings,NFL
BAL Ravens,PIT Steelers,MoneyLine,BAL Ravens,−180,SUN NOV 17TH,2024-11-14 15:43:59.844077,DraftKings,NFL
PIT Steelers,BAL Ravens,Spread,+3.5,−118,SUN NOV 17TH,2024-11-14 15:43:59.844394,DraftKings,NFL
PIT Steelers,BAL Ravens,Total,U48.5,−110,SUN NOV 17TH,2024-11-14 15:43:59.844399,DraftKings,NFL
PIT Steelers,BAL Ravens,MoneyLine,PIT Steelers,+150,SUN NOV 17TH,2024-11-14 15:43:59.844404,DraftKings,NFL
JAX Jaguars,DET Lions,Spread,+14,−112,SUN NOV 17TH,2024-11-14 15:43:59.844712,DraftKings,NFL
JAX Jaguars,DET Lions,Total,O47,−108,SUN NOV 17TH,2024-11-14 15:43:59.844718,DraftKings,NFL
JAX Jaguars,DET Lions,MoneyLine,JAX Jaguars,+600,SUN NOV 17TH,2024-11-14 15:43:59.844722,DraftKings,NFL
DET Lions,JAX Jaguars,Spread,-14,−108,SUN NOV 17TH,2024-11-14 15:43:59.845033,DraftKings,NFL
DET Lions,JAX Jaguars,Total,U47,−112,SUN NOV 17TH,2024-11-14 15:43:59.845039,DraftKings,NFL
DET Lions,JAX Jaguars,MoneyLine,DET Lions,−900,SUN NOV 17TH,2024-11-14 15:43:59.845043,DraftKings,NFL
MIN Vikings,TEN Titans,Spread,-6,−108,SUN NOV 17TH,2024-11-14 15:43:59.845352,DraftKings,NFL
MIN Vikings,TEN Titans,Total,O39.5,−112,SUN NOV 17TH,2024-11-14 15:43:59.845357,DraftKings,NFL
MIN Vikings,TEN Titans,MoneyLine,MIN Vikings,−258,SUN NOV 17TH,2024-11-14 15:43:59.845362,DraftKings,NFL
TEN Titans,MIN Vikings,Spread,+6,−112,SUN NOV 17TH,2024-11-14 15:43:59.845672,DraftKings,NFL
TEN Titans,MIN Vikings,Total,U39.5,−108,SUN NOV 17TH,2024-11-14 15:43:59.845678,DraftKings,NFL
TEN Titans,MIN Vikings,MoneyLine,TEN Titans,+210,SUN NOV 17TH,2024-11-14 15:43:59.845684,DraftKings,NFL
GB Packers,CHI Bears,Spread,-5.5,−108,SUN NOV 17TH,2024-11-14 15:43:59.845992,DraftKings,NFL
GB Packers,CHI Bears,Total,O40.5,−108,SUN NOV 17TH,2024-11-14 15:43:59.845998,DraftKings,NFL
GB Packers,CHI Bears,MoneyLine,GB Packers,−225,SUN NOV 17TH,2024-11-14 15:43:59.846002,DraftKings,NFL
CHI Bears,GB Packers,Spread,+5.5,−112,SUN NOV 17TH,2024-11-14 15:43:59.846311,DraftKings,NFL
CHI Bears,GB Packers,Total,U40.5,−112,SUN NOV 17TH,2024-11-14 15:43:59.846317,DraftKings,NFL
CHI Bears,GB Packers,MoneyLine,CHI Bears,+185,SUN NOV 17TH,2024-11-14 15:43:59.846323,DraftKings,NFL
LV Raiders,MIA Dolphins,Spread,+7,−110,SUN NOV 17TH,2024-11-14 15:43:59.846638,DraftKings,NFL
LV Raiders,MIA Dolphins,Total,O44,−110,SUN NOV 17TH,2024-11-14 15:43:59.846643,DraftKings,NFL
LV Raiders,MIA Dolphins,MoneyLine,LV Raiders,+260,SUN NOV 17TH,2024-11-14 15:43:59.846648,DraftKings,NFL
MIA Dolphins,LV Raiders,Spread,-7,−110,SUN NOV 17TH,2024-11-14 15:43:59.846952,DraftKings,NFL
MIA Dolphins,LV Raiders,Total,U44,−110,SUN NOV 17TH,2024-11-14 15:43:59.846958,DraftKings,NFL
MIA Dolphins,LV Raiders,MoneyLine,MIA Dolphins,−325,SUN NOV 17TH,2024-11-14 15:43:59.846962,DraftKings,NFL
LA Rams,NE Patriots,Spread,-4.5,−112,SUN NOV 17TH,2024-11-14 15:43:59.847269,DraftKings,NFL
LA Rams,NE Patriots,Total,O43.5,−112,SUN NOV 17TH,2024-11-14 15:43:59.847275,DraftKings,NFL
LA Rams,NE Patriots,MoneyLine,LA Rams,−205,SUN NOV 17TH,2024-11-14 15:43:59.847279,DraftKings,NFL
NE Patriots,LA Rams,Spread,+4.5,−108,SUN NOV 17TH,2024-11-14 15:43:59.847589,DraftKings,NFL
NE Patriots,LA Rams,Total,U43.5,−108,SUN NOV 17TH,2024-11-14 15:43:59.847595,DraftKings,NFL
NE Patriots,LA Rams,MoneyLine,NE Patriots,+170,SUN NOV 17TH,2024-11-14 15:43:59.847599,DraftKings,NFL
IND Colts,NY Jets,Spread,+4,−110,SUN NOV 17TH,2024-11-14 15:43:59.847904,DraftKings,NFL
IND Colts,NY Jets,Total,O43.5,−112,SUN NOV 17TH,2024-11-14 15:43:59.847910,DraftKings,NFL
IND Colts,NY Jets,MoneyLine,IND Colts,+170,SUN NOV 17TH,2024-11-14 15:43:59.847914,DraftKings,NFL
NY Jets,IND Colts,Spread,-4,−110,SUN NOV 17TH,2024-11-14 15:43:59.848220,DraftKings,NFL
NY Jets,IND Colts,Total,U43.5,−108,SUN NOV 17TH,2024-11-14 15:43:59.848226,DraftKings,NFL
NY Jets,IND Colts,MoneyLine,NY Jets,−205,SUN NOV 17TH,2024-11-14 15:43:59.848230,DraftKings,NFL
CLE Browns,NO Saints,Spread,-1,−102,SUN NOV 17TH,2024-11-14 15:43:59.848537,DraftKings,NFL
CLE Browns,NO Saints,Total,O44.5,−110,SUN NOV 17TH,2024-11-14 15:43:59.848542,DraftKings,NFL
CLE Browns,NO Saints,MoneyLine,CLE Browns,−110,SUN NOV 17TH,2024-11-14 15:43:59.848547,DraftKings,NFL
NO Saints,CLE Browns,Spread,+1,−118,SUN NOV 17TH,2024-11-14 15:43:59.848858,DraftKings,NFL
NO Saints,CLE Browns,Total,U44.5,−110,SUN NOV 17TH,2024-11-14 15:43:59.848864,DraftKings,NFL
NO Saints,CLE Browns,MoneyLine,NO Saints,−110,SUN NOV 17TH,2024-11-14 15:43:59.848869,DraftKings,NFL
SEA Seahawks,SF 49ers,Spread,+6.5,−108,SUN NOV 17TH,2024-11-14 15:43:59.849181,DraftKings,NFL
SEA Seahawks,SF 49ers,Total,O48,−108,SUN NOV 17TH,2024-11-14 15:43:59.849186,DraftKings,NFL
SEA Seahawks,SF 49ers,MoneyLine,SEA Seahawks,+240,SUN NOV 17TH,2024-11-14 15:43:59.849191,DraftKings,NFL
SF 49ers,SEA Seahawks,Spread,-6.5,−112,SUN NOV 17TH,2024-11-14 15:43:59.849506,DraftKings,NFL
SF 49ers,SEA Seahawks,Total,U48,−112,SUN NOV 17TH,2024-11-14 15:43:59.849512,DraftKings,NFL
SF 49ers,SEA Seahawks,MoneyLine,SF 49ers,−298,SUN NOV 17TH,2024-11-14 15:43:59.849516,DraftKings,NFL
ATL Falcons,DEN Broncos,Spread,+2.5,−112,SUN NOV 17TH,2024-11-14 15:43:59.849836,DraftKings,NFL
ATL Falcons,DEN Broncos,Total,O44,−112,SUN NOV 17TH,2024-11-14 15:43:59.849841,DraftKings,NFL
ATL Falcons,DEN Broncos,MoneyLine,ATL Falcons,+114,SUN NOV 17TH,2024-11-14 15:43:59.849846,DraftKings,NFL
DEN Broncos,ATL Falcons,Spread,-2.5,−108,SUN NOV 17TH,2024-11-14 15:43:59.850152,DraftKings,NFL
DEN Broncos,ATL Falcons,Total,U44,−108,SUN NOV 17TH,2024-11-14 15:43:59.850158,DraftKings,NFL
DEN Broncos,ATL Falcons,MoneyLine,DEN Broncos,−135,SUN NOV 17TH,2024-11-14 15:43:59.850162,DraftKings,NFL
KC Chiefs,BUF Bills,Spread,+2.5,−112,SUN NOV 17TH,2024-11-14 15:43:59.850469,DraftKings,NFL
KC Chiefs,BUF Bills,Total,O46,−112,SUN NOV 17TH,2024-11-14 15:43:59.850475,DraftKings,NFL
KC Chiefs,BUF Bills,MoneyLine,KC Chiefs,+110,SUN NOV 17TH,2024-11-14 15:43:59.850479,DraftKings,NFL
BUF Bills,KC Chiefs,Spread,-2.5,−108,SUN NOV 17TH,2024-11-14 15:43:59.850787,DraftKings,NFL
BUF Bills,KC Chiefs,Total,U46,−108,SUN NOV 17TH,2024-11-14 15:43:59.850792,DraftKings,NFL
BUF Bills,KC Chiefs,MoneyLine,BUF Bills,−130,SUN NOV 17TH,2024-11-14 15:43:59.850797,DraftKings,NFL
CIN Bengals,LA Chargers,Spread,+1.5,−108,SUN NOV 17TH,2024-11-14 15:43:59.851104,DraftKings,NFL
CIN Bengals,LA Chargers,Total,O48,−108,SUN NOV 17TH,2024-11-14 15:43:59.851109,DraftKings,NFL
CIN Bengals,LA Chargers,MoneyLine,CIN Bengals,+105,SUN NOV 17TH,2024-11-14 15:43:59.851114,DraftKings,NFL
LA Chargers,CIN Bengals,Spread,-1.5,−112,SUN NOV 17TH,2024-11-14 15:43:59.851423,DraftKings,NFL
LA Chargers,CIN Bengals,Total,U48,−112,SUN NOV 17TH,2024-11-14 15:43:59.851429,DraftKings,NFL
LA Chargers,CIN Bengals,MoneyLine,LA Chargers,−125,SUN NOV 17TH,2024-11-14 15:43:59.851434,DraftKings,NFL
HOU Texans,DAL Cowboys,Spread,-7,−115,MON NOV 18TH,2024-11-14 15:43:59.853462,DraftKings,NFL
HOU Texans,DAL Cowboys,Total,O42,−108,MON NOV 18TH,2024-11-14 15:43:59.853469,DraftKings,NFL
HOU Texans,DAL Cowboys,MoneyLine,HOU Texans,−325,MON NOV 18TH,2024-11-14 15:43:59.853474,DraftKings,NFL
DAL Cowboys,HOU Texans,Spread,+7,−105,MON NOV 18TH,2024-11-14 15:43:59.853786,DraftKings,NFL
DAL Cowboys,HOU Texans,Total,U42,−112,MON NOV 18TH,2024-11-14 15:43:59.853791,DraftKings,NFL
DAL Cowboys,HOU Texans,MoneyLine,DAL Cowboys,+260,MON NOV 18TH,2024-11-14 15:43:59.853796,DraftKings,NFL
PIT Steelers,CLE Browns,Spread,-4.5,−110,THU NOV 21ST,2024-11-14 15:43:59.854344,DraftKings,NFL
PIT Steelers,CLE Browns,Total,O41,−110,THU NOV 21ST,2024-11-14 15:43:59.854349,DraftKings,NFL
PIT Steelers,CLE Browns,MoneyLine,PIT Steelers,−205,THU NOV 21ST,2024-11-14 15:43:59.854354,DraftKings,NFL
CLE Browns,PIT Steelers,Spread,+4.5,−110,THU NOV 21ST,2024-11-14 15:43:59.854660,DraftKings,NFL
