Team 1,Team 2,Bet Type,Bet Info,Odds,Date of Game,Sportsbook Name,Sport
Philadelphia Eagles,Washington Commanders,MoneyLine,Philadelphia Eagles,+140,2024-11-15T01:15:00Z,DraftKings,NFL
Philadelphia Eagles,Washington Commanders,MoneyLine,Washington Commanders,-100,2024-11-15T01:15:00Z,BetMGM,NFL
Philadelphia Eagles,Washington Commanders,MoneyLine,Philadelphia Eagles,-198,2024-11-15T01:15:00Z,DraftKings,NFL
Washington Commanders,Philadelphia Eagles,MoneyLine,Washington Commanders,164,2024-11-15T01:15:00Z,DraftKings,NFL
Philadelphia Eagles,Washington Commanders,Spread,-4.0,-110,2024-11-15T01:15:00Z,DraftKings,NFL
Washington Commanders,Philadelphia Eagles,Spread,4.0,-110,2024-11-15T01:15:00Z,DraftKings,NFL
Philadelphia Eagles,Washington Commanders,Total,O49.5,-110,2024-11-15T01:15:00Z,DraftKings,NFL
Philadelphia Eagles,Washington Commanders,Total,U49.5,-110,2024-11-15T01:15:00Z,DraftKings,NFL
Philadelphia Eagles,Washington Commanders,MoneyLine,Philadelphia Eagles,-210,2024-11-15T01:15:00Z,Caesars,NFL
Washington Commanders,Philadelphia Eagles,MoneyLine,Washington Commanders,175,2024-11-15T01:15:00Z,Caesars,NFL
Philadelphia Eagles,Washington Commanders,Spread,-4.0,-110,2024-11-15T01:15:00Z,Caesars,NFL
Washington Commanders,Philadelphia Eagles,Spread,4.0,-110,2024-11-15T01:15:00Z,Caesars,NFL
Philadelphia Eagles,Washington Commanders,Total,O49.5,-110,2024-11-15T01:15:00Z,Caesars,NFL
Philadelphia Eagles,Washington Commanders,Total,U49.5,-110,2024-11-15T01:15:00Z,Caesars,NFL
Philadelphia Eagles,Washington Commanders,MoneyLine,Philadelphia Eagles,-205,2024-11-15T01:15:00Z,BetUS,NFL
Washington Commanders,Philadelphia Eagles,MoneyLine,Washington Commanders,175,2024-11-15T01:15:00Z,BetUS,NFL
Philadelphia Eagles,Washington Commanders,Spread,-4.0,-110,2024-11-15T01:15:00Z,BetUS,NFL
Washington Commanders,Philadelphia Eagles,Spread,4.0,-110,2024-11-15T01:15:00Z,BetUS,NFL
Philadelphia Eagles,Washington Commanders,Total,O49.5,-110,2024-11-15T01:15:00Z,BetUS,NFL
Philadelphia Eagles,Washington Commanders,Total,U49.5,-110,2024-11-15T01:15:00Z,BetUS,NFL
Philadelphia Eagles,Washington Commanders,MoneyLine,Philadelphia Eagles,-210,2024-11-15T01:15:00Z,FanDuel,NFL
Washington Commanders,Philadelphia Eagles,MoneyLine,Washington Commanders,176,2024-11-15T01:15:00Z,FanDuel,NFL
Philadelphia Eagles,Washington Commanders,Spread,-3.5,-120,2024-11-15T01:15:00Z,FanDuel,NFL
